id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
913263,Moscow Time,Documentary,en,"A documentary about a group of poets of the Moscow underground of the 70s of the last century who published the uncensored almanac ""Moscow Time"" which during the ""Brezhnev stagnation"" was equated with dissidence and ""treason to the Motherland"" poets were persecuted and forced to leave the country. Their destinies developed differently – the tragic death of Soprovsky the forced emigration of Kenzheev and Tsvetkov the throwing of Gandlevsky only strengthened their ""union"" through the years and distances. Today they are not only a legend of Moscow but also one of the best poets of our time both in Russia and abroad every year they come to Moscow to meet again and see their fans and admirers of real poetry.",0.6,,2019-12-01,0.0,0.0,61.0,Released,,0.0,0.0,,,/hRKi0ElH1l06Cav625nXDjNxXHG.jpg,,
904857,Nammammana Sose,Drama,kn,A drama film directed by Jawahar and P Vadiraj starring Jayamala Omaiah in the lead role.,0.6,,1980-07-26,0.0,0.0,134.0,Released,,0.0,0.0,Jayamala-Mohan-Leelavathi-K. S. Ashwath,,/3KWF9FBJfYkV93Bi8ty6tMmg98H.jpg,,
884365,the beauty bath,,en,1 minute HD,0.6,,2021-07-28,0.0,0.0,1.0,Released,,0.0,0.0,,,,,
860227,Chaver VeAch,,he,An unfortunate man gets betrayed by his girlfriend and best friend,0.6,,1993-01-01,0.0,0.0,78.0,Released,,0.0,0.0,Avi Bitter-Moshe Cohen,,/yKQXVW6c6roWYdBkFe0xMhaJQSu.jpg,,
768960,Stephane Grappelli: A Life In The Jazz Century,,en,Life and music of the famed Jazz violinist,0.6,,,0.0,0.0,0.0,Released,,0.0,0.0,,,,,
946719,They will fight 10 rounds,,es,When Bobby Terón decides to return to the ring after retiring as a boxer he faces opposition from his wife. While his wife believes that Bobby is not fit to fight his manager Hernandez assures him that the boxer will regain his prestige. Hernandez arranges a fight only this time he is not willing to submit to an unfair decision like the one that ended his pupil's career and decides to play with the same weapons.,0.6,,1991-01-01,0.0,0.0,90.0,Released,,0.0,0.0,Enrique Lizalde-Leticia Perdigón-Jaime Lozano-Gonzalo Sánchez-José Luis Loman-Gelacio Pérez-Virginia Palacios,,/gBNfhQyeXvlhIPVKUZ3z4xM7ejw.jpg,,
928736,Тайна Кара-Тау,,ru,,0.6,Vostokkino,1933-07-04,0.0,0.0,0.0,Released,,0.0,0.0,Vladimir Romashkov,,,,
732596,Little Einsteins - El Robot espacial,,es,,0.6,,,0.0,0.0,0.0,Released,,0.0,0.0,,,/1P81FQ3X9OjoyzPHRTzX6cJkJt6.jpg,,
925927,Dokunma Bozulurum,Comedy-Adventure,tr,,0.6,Kervan Film,1965-01-01,55000.0,105000.0,0.0,Released,,0.0,0.0,Öztürk Serengil-Aysel Tanju-Nilgün Utku-Vahi Öz-Münir Özkul-Mualla Sürer-Mehmet Ali Akpınar-Süheyl Eğriboz-Lütfü Engin-Muharrem Gürses-Yavuz Karakaş-Meral Sayın-Suna Selen-Ali Seyhan-Sunay Sun-Muzaffer Yenen-Jale Öz,dokunma-bozulurum,/buLLCR85TUJqu0qToNMdXl1rH6B.jpg,,
914054,Sketch Day,,en,Once a year in a colourless uchronia people disappear at random. The day before the tradition prompts each person to get a portrait drawn of themselves as a last piece of legacy to leave behind. This is the story of Eyea a sketch artist as her isolated existence gets interrupted by a colorful stranger.,0.6,,2020-06-26,0.0,0.0,22.0,Released,,0.0,0.0,,,/5tpULLzS2TiefBFcCz4C7ixLChv.jpg,,
964663,Dead Sea Drawing,,en,This work is part of a project called Lot’s wife (La Femme de Loth) which refers to a passage in the Book of Genesis in which the patriarch Lot and his family run away from Sodom and Gomorrah during the destruction of the two cities. Disobeying the Angel’s command not to look back Lot’s wife turns into a salt statue. For this project the artist has made a series of drawings where the salt creates hollows in the paper distorts it damages it and in doing so creates forms and designs.,0.6,,2010-03-10,0.0,0.0,5.0,Released,,0.0,0.0,,,/y8Fa7DkvLacwz6TZTOzL38uFO2p.jpg,,
873964,Track//02,Drama-Comedy,es,After breaking up with his boyfriend a dance music DJ named Danilo tries to escape from his emotions and problems through his live sets while immersed in the frenzied yet solitary nightlife of Santiago Chile. In the crowd a teenage girl named Marie dances to his track selections admiring him from afar. She is dealing with her own loneliness and lack of parental affection and sees in him a kind of role model to follow. As they get to know each other their wildly different lifestyles clash but in their struggles they find common ground and a escape from their deep loneliness and anxieties.,0.6,Escuela de Cine de Chile,2012-02-06,0.0,0.0,80.0,Released,,0.0,0.0,Ignacia Muñoz-Guilherme Sepúlveda-Joanna Shih-Tomás Henríquez-Franco Toledo-Emilio Sepúlveda-César Caillet-Jaime Omeñaca,,/ikfYZsgenWpqfygCR6VFi640h3.jpg,/uC8MdBCpRinph7QnIXiej8d4vUR.jpg,
954070,The Volunteer,,en,In writer/director Jonathan Steckley's beautifully subtle and naturalistic film a young youth worker goes beyond the call of duty to help a weary teen-aged girl but quickly finds himself in over his head dealing with her dysfunctional family.,0.6,,,0.0,0.0,83.0,Released,,0.0,0.0,Ken C. Ogasawara-Theodore Bouloukos-Myra Segal-Kaity Adam-Andrew Cherry-Cheryl Lee-Dave Walpole-Heather O'Donnell,,/jDOyVIKDcG0FxOprHkjww4Mi3mC.jpg,,
894138,Down the Rabbit Hole,,en,A man plunges into the darkness to confront the demon on the verge of destroying his sanity. Based on Shakespeare's Hamlet and set in 1928 against the impending Wall Street Crash.,0.6,,2014-11-01,10.0,0.0,5.0,Released,,0.0,0.0,Denver Milord,,/qFRWsfASNZK9mr3qJfNLQcS7mk5.jpg,,
877238,Forever,Drama,tl,Forever is a love story a family’s journey towards healing a fractured relationship among siblings.,0.6,Adlibs Entertainment,2021-09-15,0.0,0.0,20.0,Released,,0.0,0.0,Kurt Soberano-Jane Quilisadio-Mandy Alimon-Marilou Kho-Jayem De La Pena-Wee Trinidad-Ronabelle Undaloc-Milton Agsam,,/mgvqdDs1RlIExjwK07H6CWr5m8m.jpg,/2as5hmNXkUw8OIWAFHsOnN2EwGc.jpg,
959192,Geometry,Animation,ru,Student exercise. Game scenes with a figure,0.6,,2022-03-29,0.0,0.0,1.0,Released,,0.0,0.0,,,,,
914477,It's Coming It's Real,,en,"A politically-charged fever dream montage for ""It's Coming It's Real"" by Swans.",0.6,,2022-01-22,0.0,0.0,8.0,Released,,0.0,0.0,,,/wd6JZAGxOGtO8ccI3qZ03f39tmV.jpg,,
884224,The Incredible Dyke,,en,,0.6,,2007-04-30,0.0,0.0,10.0,Released,You won't like her when she's angry,0.0,0.0,,,/wzplYucwZCQvFOtPtk7YQEKrWVg.jpg,,
862264,Derradeiro de Maio,,pt,,0.6,,2021-08-20,0.0,0.0,0.0,Released,,0.0,0.0,,,,,
677025,The Airborne Toxic Event - Lollapalooza 2014,,pt,,0.6,,2014-08-03,0.0,0.0,0.0,Released,,0.0,0.0,,,,,
858937,The Perfomance of Drowning,,en,On a trip to “Crippled Children’s Camp” Terry Galloway falls for the deep-end swimming instructor nearly drowning as she learns to perform her newly discovered queer disabled identity in The Performance of Drowning.,0.6,,2011-06-14,0.0,0.0,10.0,Released,,0.0,0.0,,,/fBC8FLokiDdJ8VJB8RlD4DpVnOi.jpg,,
943202,ComediHa Club Best of - 2021 - Dominic et Martin,,fr,,0.6,,,0.0,0.0,0.0,Released,,0.0,0.0,,,/dI9Qbky2WLO2NEz7Xno04iE2zap.jpg,,
916897,New Year's Eve,Drama,en,"Taking place over 24 hours ""New Year's Eve"" is the story of Marjorie Ware broke and unemployed who despairs as her ailing younger brother languishes at home. She runs into rich gambler Larry Harmon and rejects his overtures. She later finds a wallet with 10 $100 bills belonging to Edward Warren.",0.6,Fox Film Corporation,1929-02-24,0.0,0.0,70.0,Released,,0.0,0.0,Mary Astor-Charles Morton-Earle Foxe-Florence Lake-Arthur Stone-Helen Ware-Freddie Burke Frederick-Jane La Verne-Sumner Getchell-Stuart Erwin-Virginia Vance,,/hTKoK4A8CVvffgtLomVPxw3bbJF.jpg,/3HVUDtLJyHWzXrRvTd8z5S6fEof.jpg,
857068,Planet Robot Thunder-A,Animation,en,In the year 2100 the Earth is once again in danger. The group of brave teenagers set out in their giant robot to save humanity.,0.6,,,0.0,0.0,56.0,Released,,0.0,0.0,,,,,
923200,Bez grzechu,Drama,pl,Marta leaves the orphanage and goes to her hometown. The flat left by the girl's parents is occupied by the girl's relatives.,0.6,,1988-09-09,0.0,0.0,78.0,Released,,0.0,0.0,,,/kcYTjWqGhPgPkQ8fN2lGgECGmlz.jpg,,
954083,"Aude, belle inconnue",Documentary,fr,A documentary on Aude and the river that also bears its name.,0.6,Films J. K. Raymond-Millet,1937-01-01,0.0,0.0,17.0,Released,,0.0,0.0,,,/uUVpKYE5dWcrFXnIJuPMG0rNGZO.jpg,,
928436,Mahsusa 100 Yıllık Mühür,Action-Drama-Thriller-War,tr,,0.6,Dreamlife Studios,2018-10-01,0.0,0.0,0.0,Released,,10.0,1.0,Dilara Ayata-Aksel Yakup Bektaş-Ramazan Kalyoncu-Yaşar Karakulak-Ünal Kızılkayag-Barış Ordu-Melisa Seda-Murat Sert-Ekrem Türker-Oğuz Yağcı-Kadir Yakar-Bahadır Yenişehirlioğlu-Cihan Özdeniz-Birol Özkal,historical-civil action-polisiye  casusluk,/bwfpOGkFakJjjW7UbCCCCVSZwpE.jpg,/n0djGQvSFsRkzZtwAgcNwn5ugfj.jpg,
965499,A Shape of Error,,en,,0.6,,2012-01-29,0.0,0.0,0.0,Released,,0.0,0.0,Eileen Ryan-Nick Wilding,,/2jvhpCmFVSpsMKtEbAd9vmTVQ99.jpg,,
950652,Granite Jaw,Drama,en,A man training on his boxing bag thinking about his past fights and the upcoming ones that he must win.,0.6,CT ROAD Entertainment,2021-10-18,20.0,20.0,5.0,Released,Sport Drama,9.0,1.0,Taylor Nikides,,/7jYXzMKOvonDb2uY48scqIqmx4S.jpg,/jcA3AeAsk8tczgqo17YiEv2Vvvq.jpg,
947124,Cowboy Sports and Pastimes,Western,en,Ed Gibson and Bertha Blanchard are featured in sensational riding on unbroken horses.,0.6,Bison Motion Pictures,1913-02-01,0.0,0.0,10.0,Released,,0.0,0.0,Hoot Gibson-Bertha Blanchard,,,,
958630,"Luiz Gonzaga, o Rei do Baião",Documentary,pt,,0.6,,1970-01-01,0.0,0.0,0.0,Released,,0.0,0.0,Luiz Gonzaga,,,,
918739,德云社亲子爱徒专场演出,,zh,,0.6,,2016-03-11,0.0,0.0,0.0,Released,,0.0,0.0,,,/zYcX2oKJsS5gesfuhxLAsOSIWkE.jpg,,
961894,Il Tempo Consuma,,it,"“Time consumes images time consumes sounds”. This phrase is punctuated over time with words and movements by a ""human metronome"".",0.6,,2021-04-13,0.0,0.0,4.0,Released,,5.5,1.0,,,/gJc4tqhjjCQsZaxOt4uT6qudSzi.jpg,,
967389,Perempuan Sasak Terakhir,Drama,id,This film consists of three stories. The first story is about Ryan alias Sasak Adi a young Sasak native who lives with his uncle (his mother died while giving birth to Ryan) in Jakarta. The second story is about Anjani a Sasak woman who is obedient and still respects her cultural values. The third is about Wati (Aufa Asfarina Febrianggie) who lives in the same village as Anjani talkative about following trends.,0.6,PT Lintas Antariksa-SIF Institut Film,2012-06-28,0.0,0.0,120.0,Released,,0.0,0.0,Edwin Sukmono-Aufa Asfarina Febrianggie-Azhar Zaini-Fahrudin Ali,,/x3HE2VKngFQWVXtvp5wgnfZeVdT.jpg,,
904143,Open Season,Crime-Documentary,en,A Hmong immigrant is convicted of killing six white hunters in a violent confrontation during deer hunting season in northwestern Wisconsin. Was it a racial incident? Was it the random act of a madman? Part courtroom drama part intimate portrait OPEN SEASON looks at the root causes and the reverberating impacts of this tragedy bringing into high relief the simmering tensions -- racial cultural economic -- that lurk in America's heartland.,0.6,,2021-03-12,0.0,0.0,57.0,Released,,0.0,0.0,,,,,
913201,"The Edge of the Earth, or Lived 12 Robbers",Documentary,ru,"Gena Chudnenko was born in prison. He also returned there as a teenager-an orphanage worker. And the guy would have had a typical fate for an orphanage: ""He stole drank went to prison..."" if he hadn't started building a temple in the Gene colony. And a miracle happened: a guy with no secondary education built a huge temple according to all the canons of ancient Russian architecture! Since then Hieromonk Gerontius has built two wooden monasteries of rare beauty and several amazing wooden temples. And most importantly he brought dozens of ex-cons to God. The author of the film tries to answer the question ""how is this possible?"" revealing the character of the hero.",0.6,,2021-12-10,0.0,0.0,52.0,Released,,0.0,0.0,,,/lERsxmYOG78658h86I7KhLnW7gG.jpg,,
