id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
961593,Mozart La Finta Giardiniera Emmanuelle Haim,,en,The French conductor Emmanuelle Haïm conducts here her music ensemble Le Concert d'Astrée during this performance of Mozart's La Finta Giardiniera at the Opéra de Lille (France) on March 22nd and 25th 2014. This production directed by David Lescot stars a remarkable cast with Erin Morley and Enea Scala in the roles of the Contino Belfiore and the Marchioness Violante Onesti.,0.6,,2015-07-10,0.0,0.0,0.0,Released,,0.0,0.0,,,,,
937458,Universal Ike Junior in His City Elopement,Comedy,en,Drummer Jones makes his annual trip west. He stays at the Thatch Hotel run by Louise's mother. Ike is janitor of the hotel. He and Louise are sweethearts. After the trunks are placed in the drummer's room he unpacks his samples. Louise has been watching from her room. When she sees her way clear she hides herself in the trunk.,0.6,Universal Film Manufacturing Company,1914-07-28,0.0,0.0,10.0,Released,,0.0,0.0,Bobby Ray-Louise Glaum-Eva Thatcher-Harry Moody-Fred Hornby,,,,
875423,From Scratch,Drama,en,Nearing her final year of Art college Cassie faces the unwelcome onset of a rare neurological condition which leaves the hand she uses to paint with a mind of its own.,0.6,,2020-01-01,7000.0,0.0,13.0,Released,,7.0,1.0,Iona Champain-Keeley Forsyth-Corin Silva-Mensah Bediako,,/iuBfh9jUY75NiBTBxZPsHOrQKYf.jpg,,
932787,The Tenderfoot Sheriff,Western,en,Snake a notorious outlaw robs the general store. True Boardman the sheriff and a posse starts out after him. Snake riddles the sheriff's hat with bullets and the sheriff and posse run under cover. Boardman resigns. The village trustees appoint a new sheriff. Snake writes a note saying he will be in Kelly's saloon that night.,0.6,The Essanay Film Manufacturing Company,1913-08-02,0.0,0.0,0.0,Released,,0.0,0.0,Gilbert M. Anderson-True Boardman-Harry Todd,,,,
758407,Baby Talk,Drama,en,It's such a simple natural thing to have a baby thinks Mary. But she and husband Paul are preoccupied with their careers. Can their young neighbour Tessa help or are the emotions around a new baby more complex than anyone had expected?,0.6,,1981-04-21,0.0,0.0,70.0,Released,,0.0,0.0,Susan Littler-John Harding-Pauline Quirke-Helen Lindsay-Elaine Donnelly-Caroline Holdaway-John Leyton-Arthur Whybrow-Kim Taylforth-Michael Garner-Barbara Laurenson-Shirley Cassedy-Sonia Smyles,,/6XiWa7aAFmmirsjGFvIGYLRdK8U.jpg,,
760325,Coming From,,it,,0.6,,,0.0,0.0,0.0,Released,,0.0,0.0,,,,,
788258,Indigenous Plant Diva,Documentary,en,Kamala Todd's short film is a lyrical portrait of Cease Wyss of the Squamish Nation. Wyss is a woman who understands the remarkable healing powers of the plants growing all over downtown Vancouver. Whether it's the secret curl of a fiddlehead or the gentleness of comfrey plants carry ageless wisdom with them communicated through colour texture and form. Wyss has been listening to this unspoken language and is now passing this ancient and intimate connection down to her own daughter Senaqwila.,0.6,ONF | NFB-Writers Guild of Canada,2008-02-01,0.0,0.0,9.0,Released,,0.0,0.0,Cease Wyss-Senaqwila Wyss,,/l1lN3fGUsVX4yYZCUnwf9TiWMLd.jpg,,
769374,VICIOUS LIKE US,,en,Short featuring views of street walkers and nightlife.,0.6,,2014-10-20,0.0,0.0,1.0,Released,,0.0,0.0,,,/1X1VSoyvBB5jPguHyWgPHVq2rXN.jpg,,
355939,Riding the Storm,,en,Educational film about landslides published by the United States Geological Society.  A catastrophic 1982 rainstorm triggered 18000 landslides in the Bay Area claiming 25 lives and causing $66 million in property damage. The combination of steep slopes weak rocks and intense winter storms make Bay Area uplands an ideal setting for landslides. Landslides include both swift potentially deadly debris flows and slower but destructive deepseated slides. Learn what USGS scientists have discovered about landslide dynamics and which slopes are most susceptible to sliding. Hear the devastating stories of Bay Area residents affected by landslides and learn to recognize the danger signs.,0.6,,2007-02-19,0.0,0.0,58.0,Released,Landslide Danger in the San Francisco Bay Area,0.0,0.0,,,,,
930671,Fuchsia,,en,A visionary landscaper finds friend and foe in a mysterious client.,0.6,,2020-10-07,0.0,0.0,7.0,Released,,0.0,0.0,April Melody Tan-Zet Gold-Paul Joy,,/5Rq1hStEqFUMP3hQiM3IRkkQd8H.jpg,,
