id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
835823,Who's There,Horror,en,A beautiful girl is haunted by a stranger who sends her obsessive SMS. But what if his intentions are much more dangerous and creepy than they seem at first. There is no time to think about it as he is standing behind the door and is pressing on the doorbell right now.,0.6,,,0.0,0.0,5.0,Released,,0.0,0.0,Daria Yanvarina,,,,
790624,Victorian Order of Nurses,Documentary,en,Describes the work of the Victorian Order of Nurses for Canada showing prenatal and postnatal home visits and the instruction of housewives in home nursing fundamentals. It also outlines the training of the Victorian Order nurse and the important role she plays in the health of the community.,0.6,ONF | NFB,,0.0,0.0,5.0,Released,,0.0,0.0,,,,,
815789,La Traicion de un Hijo,,es,,0.6,,2012-12-31,0.0,0.0,0.0,Released,,5.0,1.0,,,/jPOSuhohvUCXchHU55H8HhwERz6.jpg,,
790392,The Struggle for Choice: Part 1 - Abortion Caravan,,en,"The five-part series Struggle For Choice examines a 17 year period of the abortion rights movement from the liberalization of the abortion law between 1969 and 1987. The tapes present the abortion rights issue in an overall political context.  Part One Abortion Caravan examines the Federal law changes in 1969 which allowed for the legal dissemination of birth control information and the legalization of abortion if performed in an accredited hospital and approved by a therapeutic abortion committee of three doctors (it was not removed from the Criminal Code making abortion illegal if performed in free-standing clinics or without the approval of a committee.) Women responded to the limitations of the new law with demonstrations. Participants in Abortion Caravan ""declare war on the Government of Canada"" and shut down Parliament for the first time in Canada's history",0.6,,1986-02-14,0.0,0.0,0.0,Released,,0.0,0.0,,,,,
811595,El Mundo De Disney Videos Musicales,,es,,0.6,,,0.0,0.0,0.0,Released,,0.0,0.0,,,,,
849396,Nigel Benn vs. Chris Eubank I,,en,A boxing fight.,0.6,,1990-11-18,0.0,0.0,0.0,Released,,0.0,0.0,Chris Eubank-Nigel Benn,,,,
846630,"Kilimandjaro, Monarca Africano",,en,In the spirit of a 'mountaineering safari' four Italians fly to Nairobi the capital of Kenya and a compulsory base for both hunters of the great reserves and climbers of the great African mountains. Crossed the land of the Masai rich in game they in fact climb in four days up to the top of Kibo the crater off that with its 5895 meters is the highest point of Kilimandjaro and all Africa. After two days of descent they finally enter the Serengeti National Park inside the vast crater of the Ngorongoro.,0.6,,1960-01-01,0.0,0.0,32.0,Released,,0.0,0.0,,,,,
855662,Safe and Sound,,en,"Contemplative and gripping the short experimental film ""Safe And Sound"" explores the themes of solidarity isolation the individual and collective observer victimization racism religious practice love and compassion. The short film stars a diverse ensemble of Los Angeles-based dancers all on the cutting edge of their craft of expression.",0.6,,2021-06-01,0.0,0.0,6.0,Released,,0.0,0.0,,,/kN5HMb8ThA5dE9j3QrUrYuJcLac.jpg,,
846723,"Glasgow, Love and Apartheid",Documentary,en,In the year of Nelson Mandela’s centenary Glasgow Love and Apartheid is the story of one family’s fight against apartheid from Scotland and South Africa. Director Dhivya Kate Chetty follows her parents – a mixed and once ‘illegal’ couple – on a trip back to South Africa where the family stories begin to unfold – protests an uncle in jail an ANC arms cache a doctor on the run and a surprise connection with Mandela in hiding.,0.6,,2018-10-09,0.0,0.0,60.0,Released,,0.0,0.0,Dhivya-Kate Chetty,,/3ekaRmlbdbikRa7CXNrm7CF8ppd.jpg,,
784632,The Life and Flight of the Reverend Buck Shotte,Comedy,en,,0.6,,1968-01-03,0.0,0.0,36.0,Released,,0.0,0.0,James Dellit-Kosta Akon-Peter Weir-Grahame Bond-Johnny Lockwood,,/6HRsOxgfwrJ2UHfyWHSiQ1M0muK.jpg,,
812997,The Ring Mix,,fr,Recorded live at the 5th Night of Electronics Arts part of Videoformes 2003 in Clermont-Ferrand (France) Three protagonists mix simultaneously: DJ Sirobe Plaais for music VJ Najem Sworb for video screening and CJ Nog's for camera EFX recording in this digital performance. A film made of a take in the rough!,0.6,,,0.0,0.0,6.0,Released,,0.0,0.0,,,,,
840897,Some Night,Comedy,en,What was supposed to be a typical friend's night out becomes one night of chaos missed connections and new discoveries in this outrageous new comedy about friendship relationships and how one crazy night can change everything.,0.6,,,5000.0,0.0,87.0,Released,Have the time of your nightlife.,10.0,1.0,Jason Aaronson-Enrico Banson-Jacob Ben-Shmuel-James Udom-Bree Swartwood-Adrian Van der Valk-Jess Thompson-Steven M. Thomas-Kirsten Eileen Dwyer-Jonathan Tolentino-Marcel Saunders-Alex Humphrey,,/uDdM915ezPKQv9arR4A6bVDU75Z.jpg,,
853563,The Crooked Mind,Action-Crime-Thriller,en,Kyle Carson is diagnosed with multiple personality disorder also known as DID. He despises his community after doing a background search on everyone who he believes has committed a crime without punishment. When one of his multiple personalities Jonah comes forth; he trains Kyle to kill and not be seen. Detective Amon Barracks leads the charge,0.6,,2016-12-12,0.0,0.0,120.0,Released,,0.0,0.0,Jesse Vega-Moisaque Blanc-Bianca Alcantara-Pete Accetturo-Roy A. Gonzales-Hanschel Pacheco-Jeffrey Thomas Williams-Derek Long,,,,
791911,American Cinema,Documentary,en,The history of Hollywood and filmmaking comes alive in this spectacular nine hour celebration of movie magic. It's a mesmerizing epic analysis that combines rare archival film key scenes from immortal movies interviews with leading filmmakers and commentary from noted film scholars and critics. As seen on PBS this highly acclaimed series is the definitive chronicle of the American cinema from its beginning to today. Includes interviews with Robert Altman Clint Eastwood Harrison Ford Spike Lee George Lucas Sidney Lumet Julia Roberts Martin Scorsese Gene Siskel Steven Spielberg Oliver Stone Quentin Tarantino and many more.  A New York Center for Visual History Production in co-production with KCET and the BBC,0.6,Image Entertainment,1995-01-23,0.0,0.0,544.0,Released,One Hundred Years of Filmmaking,0.0,0.0,John Lithgow-Frances McDormand-Kathleen Turner-Joe Morton-Richard Widmark-Eli Wallach-Matthew Modine-Peter Coyote-Cliff Robertson-Kathy Selverstone-Mark Heenahan,,/rjiunQnmap3Wu6309VdKBKW4lLC.jpg,,
810514,Conversations,Documentary-Animation,en,Conversations explores the colors of the landscape through the palette of digital color and is a reconnection with my past narrative films. A mix of home videos captured sounds and unpublished films are assembled here to make a digital mural. As the date suggests I have no plan yet to end the work.,0.6,,2021-01-01,0.0,0.0,0.0,Released,,0.0,0.0,,,/ctsje45Wmy5yfvZ4Zz7CkkVY9hh.jpg,,
