id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
749881,Intolerance,Drama,uk,In 1890 in one of the villages of Ukrainian Polissia a man died under mysterious circumstances. The locals blamed his wife a young healer and banished her from the village. When affliction came to the village people believed they had been cursed by the castaway woman. They discovered she was living in the forest found her and burned her alive as a witch. But before doing it they sent a priest to have a final conversation with her.,0.6,Ukrainian Cultural Foundation,2020-09-30,0.0,0.0,17.0,Released,,0.0,0.0,Anastasiia Pustovit-Roman Yasinovskyi,witch-witch burning-witch hunt-ukrainian village-19th century-ukraine,/fQAFXnTX0LZG4SF2aumne6QA6l4.jpg,,
718722,Khibetna,,am,,0.6,,2018-02-07,0.0,0.0,0.0,Released,,7.0,1.0,Mohamed Sobhi-Samira Abdulaziz-Abeer Farouq-Abdalah Mishrif,,/7hxoIyWQkZe5ejGKgHblWN0XaRX.jpg,,
752492,Xylem,Animation,xx,Directed by Michael Hughes.,0.6,,2019-09-30,0.0,0.0,0.0,Released,,0.0,0.0,,,,,
698211,The Mystery of the Yellow Room,Drama-Mystery,en,The intrepid reporter and amateur sleuth Joseph Rouletabille becomes involved in the investigation of a hideous crime committed in a room painted yellow whose door was locked from the inside…,0.6,Emile Chautard Pictures-Mayflower Photoplay Company,1919-10-19,0.0,0.0,77.0,Released,Box-office mystery!,0.0,0.0,William Walcott-Edmund Elton-George Cowl-Ethel Grey Terry-Lorin Baker-Jean Del Val-W. H. Burton-Henry S. Koser-Jean Ewing-William Morrison-Louis R. Grisel-John McQuire-Catherine Ashley-Ivan Dobble,based on novel or book-amateur detective-whodunit-locked room mystery-father daughter relationship,/xZBDgrsh6mMro1LupcAPkocJZJt.jpg,,
671599,Guerrilla Fighters of Kurdistan,,en,“In March of 2015 I set off to the Kurdistan region of Iraq and Syria to begin a new personal project. In the beginning I thought perhaps it would be a still photography trip only. But just as I left the door I decided to grab my GoPro kit in case anything interesting happened and I could just film it myself. This is that footage.” —Joey L.  Documentary about Kurdish guerrilla fighters in the struggle against ISIS.,0.6,,2015-06-05,0.0,0.0,31.0,Released,A Photographer Among Forces Fighting ISIS,0.0,0.0,Joey L.-Can Êzîdxelo,,/r0k8QOYcxwbo4QHTeTMTj5UbvNb.jpg,/9aowzN4F7sYRF24sGEoIARHZfe9.jpg,
502515,Gang vs. G-Men,Crime,ja,Two rival gangs of gangsters clash for dominance of a neighborhood.,0.6,Toei Company,1962-11-02,0.0,0.0,82.0,Released,,6.0,1.0,Koji Tsuruta-Yoshiko Sakuma-Tetsurō Tamba-Shin'ichi Chiba-Tatsuo Umemiya-Yoshi Katō-Akikane Sawa-Harumi Sone-Junkichi Orimoto-Hideo Sunazuka-Tamaki Sawa-Takashi Kanda-Nakajirô Tomita-Mitsuo Andô-Nobuo Yana-Shigeshiro Kobayashi-Isamu Yamaguchi-Koji Miemachi-Akira Kuji-Akira Katayama-Genji Kawai-Satoshi Akiyama-Shunji Kasuga-Jushiro Kobayashi,,/fCyu0y4VVpoQZrK7KimyuErni2g.jpg,/h3Q2GgD7zkxIypaIu4f9bNYMMCE.jpg,
675125,Irekani,,en,Mexican feature film,0.6,,2021-12-31,0.0,0.0,90.0,Released,,0.0,0.0,,,,,
753616,BANDH,,en,Three members of a nuclear family are confined to home during the Coronavirus crisis and their experiences of lockdown differ widely. The daughter enjoys her ‘me time’ and focuses on relaxation. The father is baffled and bothered. And the mother can see no difference in her situation—pandemic or no pandemic.,0.6,,,0.0,0.0,13.0,Released,,0.0,0.0,,,/bzt1yC6XFCQn54QDddYqq1rerdc.jpg,,
672776,The Loom,Documentary,en,A movie that looks into the enchanted region where nature borders the supernatural and features the strange music that emanated from an Aeolian harp.,0.6,,2018-05-05,0.0,0.0,8.0,Released,,0.0,0.0,,,/1ryMx3BHKl2ZbyjTXnNPp1YGtF2.jpg,,
830933,Neal Morse: Jesus Christ the Exorcist - Live at Morsefest 2018,,en,"Acclaimed prog rocker Neal Morse returns with a new live set Jesus Christ The Exorcist: Live At Morsefest 2018.  As the title suggests this new live album and DVD and Blu-ray was captured at the annual Morsefest in 2018 where Neal and band performed his then new album Jesus Christ The Exorcist in its entirety.  This unique live album presents the entire ""Jesus Christ The Exorcist"" story set as a progressive rock musical. Here the biggest change from any typical Neal Morse performance was that he was the musical director and not the main performer.",0.6,,2020-12-04,0.0,0.0,120.0,Released,,0.0,0.0,Neal Morse-Eric Gillette-Bill Hubauer-Nick D'Virgilio,,/avkspsC05izwQhrwectAlqbDYxX.jpg,/tsESFfLQ1RDpPWSZ5BVhGLEuj1V.jpg,
751078,H.P. Lovecraft's The Beast In The Cave,Horror,en,An adaptation of one of H.P. Lovecrafts earliest stories which finds a man hopelessly lost while exploring the Mammoth Cave system. Darkness brings a unknown fear.,0.6,Red Headed Revolution Pictures-Shackle Island Productions,2016-03-16,0.0,0.0,7.0,Released,,0.0,0.0,Wynn Reichert,cave-darkness-horror-cryptozoology-hp lovecraft-short film-lost in cave-lovecraft,/mlRSWbgqmxeTZmGPpGzKYX9nJMW.jpg,,
740568,El Bazar,,en,An executive walks by chance into a shop in order to charge his mobile phone. Strange and unexplained events will soon begin to happen and it is that nothing is what it looks like in that bazaar.,0.6,,2020-09-07,0.0,0.0,12.0,Released,,0.0,0.0,,,,,
753668,The Blood of Stars,Documentary,en,Short film that invites us to think about the relation between the presence of iron — a fugitive from the stars sleeping deep inside the earth — and the veins of warm-blooded mammals. It reads meteorites for clues about the stains at the edge of every sharp blade that cuts into flesh and registers resonances that ricochet between mining militarism and the mutations that mark a remote landscape.,0.6,,2017-11-15,0.0,0.0,13.0,Released,,0.0,0.0,,,/bIzPAOIuBK52nN0SgwYZSUhGG70.jpg,,
752763,Witches in the Window,,en,A glimpse inside the haunted mind of Johnny a little boy who sees monsters.,0.6,,2020-10-11,0.0,0.0,4.0,Released,,0.0,0.0,,,,,
669867,M. Boy,,ko,Short film by Hyo-jeong Kim,0.6,,2016-09-09,0.0,0.0,27.0,Released,,0.0,0.0,,short film,/1XHsarkvmiMg5W7YSu8ABsUod7A.jpg,,
727272,The Man Who Played God,Drama,en,En eminent pianist is made deaf by an anarchist's bomb during a command performance.,0.6,Distinctive Productions,1922-10-01,0.0,0.0,0.0,Released,,0.0,0.0,George Arliss-Ann Forrest-Ivan F. Simpson-Edward Earle-Effie Shannon-Miriam Battista-Mickey Bennett-Mary Astor-Pierre Gendron-Margaret Seddon-John D. Walsh,,/iNyI1VWuTTONnXfzdg1L4q9HKgw.jpg,/xXz2jeMkx1VDtizrMJEvhnZz4Vo.jpg,
729951,The Clothes We Wear,,en,Discusses the animal plant and synthetic fibers; contrasts primitive and modern methods of spinning thread and weaving cloth; and points out the abundance and value of the clothes we wear. Can you make milk straw & coal into fibers? You bet.,0.6,,1954-01-01,0.0,0.0,11.0,Released,,0.0,0.0,,,/vZOZFMSsm2Ly3imr58CYfIwcQhC.jpg,,
677869,La clave del diablo,,es,,0.6,,2002-01-01,0.0,0.0,94.0,Released,,5.0,2.0,,,,,
678106,El carro de la muerte,,es,,0.6,,1984-01-01,0.0,0.0,85.0,Released,,5.0,2.0,,,,,
729429,Motto,Horror,en,A scout's outing to the woods is interrupted by somebody with a large mallet.,0.6,Kicked by a Mule-Half Day Wednesday,2015-01-31,0.0,0.0,11.0,Released,Be Prepared,0.0,0.0,Elizabeth Boag-Derek Jones-Jem Rycraft-Nathalie Pownall-PennyJo Koviou-Matty Crawford-Joe Daly-Toby Hill-Liam Hughes-Annabelle Le Gresley-Eliot Lynch-Amy O'Brien-Anastasia O'Sullivan-Shayla Palk-Kirsty Pitts-Gary Rake-Jake Robinson-Catherine Ruddick-Jack Ware-Andy White,,/cZ1jrowcdShHbNrX42FHkfy8iaN.jpg,,
201713,Terra baixa,TV Movie-History-Drama-Romance,ca,The film raises the contrast between the plain corrupted (the Low) and uncontaminated mountain (High Land). The protagonist Manelic a simple primitive Marta wants to marry a girl from the Low Country that until then had been forced to be intimate with his master Sebastian.,0.6,MEDIA Programme of the European Union-Fausto Producciones-Televisió de Catalunya (TV3),2011-09-11,0.0,0.0,98.0,Released,,0.0,0.0,Ernest Villegas-Marina Gatell-Francesc Orella-Joan Pera-Marina Comas-Mercè Arànega-Cata Munar-Roger Casamajor,,/a06Ake2plJOLjKovgPuRFXgQS8V.jpg,,
753881,A Friday the 13th Reunion,Documentary,en,The original cast and crew reunite to discuss the making of the film.,0.6,King Media Services,2009-02-03,0.0,0.0,17.0,Released,,6.0,1.0,Harry Manfredini-Tom Savini-Victor Miller-Ari Lehman-Betsy Palmer-Adrienne King,,,,
705804,The Haunted Graduation Photo 2,Horror,zh,Su Liang Zeng and Yin Piao Piao (Nie Jinglei) had a good relationship before and the two people who love each other have a deep relationship. However it is not a wish in an accident Yin fluttering unfortunately lost life Su Liang has lived in her thoughts and pains.,0.6,,2017-08-08,0.0,0.0,79.0,Released,,0.0,0.0,,,/3kp9DpS4kSuXd6xYLwKgXQLszvS.jpg,,
671414,Next Door,Drama,de,A group of young lesbians share a flat. Each of them has a secret to keep from the other flatmates next door. As rooms beds and roles are swapped the truth slowly surfaces. Which of the four flatmates is brave enough to say the truth and stand by their emotions?,0.6,,2010-04-16,0.0,0.0,21.0,Released,,2.5,2.0,Agnes Bethke-Sinha Gierke-Henrike Krügener-Margret Melzer,short film,/rn9svLM7n9tqmX3nwYrNOQIC3w5.jpg,,
534909,The First Annual NWA Jim Crockett Sr. Memorial Cup Tag Team Tournament,,en,The first Jim Crockett Sr. Memorial Cup Tag Team Tournament was held on April 19 1986. The tournament featured 24 tag teams.,0.6,Jim Crockett Promotions-The Universal Wrestling Federation,1986-04-19,0.0,0.0,120.0,Released,"The first Jim Crockett Sr. Memorial Cup Tag Team Tournament was held on April 19, 1986. The tournament featured 24 tag teams.",0.0,0.0,Ric Flair-Virgil Runnels-Dick Slater-Jim Duggan-Michael James Hegstrand-Joe Laurinaitis-Tully Blanchard-Marty Lunde-Bobby Eaton-Dennis Condrey-Richard Morton-Ruben Cain-Stanfield Lane-Steve Keirn-Tom Couch-James Hines-Oreal Perras-Scott Simpson-Brian Wickens-Robert Miller-James Fanning-Emanuel Fernandez-Sione Vailahi-Jim Raschke-Pezavan Whatley-Nelson Combs-Michael Smith-Bart Batten-Brad Batten-Shohei Baba-Mitsuharu Misawa-Rick Harris-James Williams-William Cruickshanks-William Ansor-Terry Allen-Roger Barnes-Rick Vigneault-Salvador Guerrero III-Héctor Guerrero-Gary Sabaugh-James Ware-Mike Miller-Robert Jeaudoin-Edward McDaniel-Mark Romero-Dave Peterson-Brett Woyan-Rob Rechsteiner-Bruce Woyan-Steve Williams-Paul Taylor-Paul Ellering-Jim Cornette-Paul Frederick-Nickla Roberts-Patti Williams-Ken Rinehurst-Bruce Prichard,,/rvJJlAA35OMjwuUoN7BzCJ7iqTX.jpg,,
752160,The Soul Collector,,en,A mother is followed home one night by masked man. But what lies behind the doors of her house is something no one expects.,0.6,,,0.0,0.0,0.0,Released,,0.0,0.0,,,,,
355101,The Mysterious Swordsman,Adventure-Drama,it,Count Ubaldo desires to make an unfavorable alliance with the Spanish armies. When Riccardo refuses to go along with the plans he is ambushed in the forest and left for dead. However he returns with a vengeance organizes a band of marauders and begins to pick away at Ubaldo’s forces. But Ubaldo kidnaps Laura and Riccardo must storm the castle to free her.,0.6,,1956-05-25,0.0,0.0,78.0,Released,,0.0,0.0,Frank Latimore-Fiorella Mari-Gérard Landry-Tamara Lees,,/7QZQUz3NIMYCECkJO5cw7Ghqb6b.jpg,,
