id,title,genres,original_language,overview,popularity,production_companies,release_date,budget,revenue,runtime,status,tagline,vote_average,vote_count,credits,keywords,poster_path,backdrop_path,recommendations
150431,Toybox - Animal Farm,,en,Open the lid to a fantasy world full of fun music learning and adventure! The bedroom door swings open and a toy box is spilled on its side in a jumble of shapes and colours. No-one is around...all is quiet...and then something magical happens - every child's dream comes true as the toys spring to life!,0.6,,2011-07-15,0.0,0.0,154.0,Released,,0.0,0.0,,,,,
265153,David Gilmour - Rock Block,,en,David Gilmour - Rock Block Bootleg,0.6,,,0.0,0.0,,Released,,0.0,0.0,,,,,
299892,Magpie House,,en,A flock of magpies fly through an open window into a bedroom leaving a wake of destruction and mayhem.,0.6,,1984-01-01,0.0,0.0,,Released,,0.0,0.0,,,,,
305050,IL CACCIATORE DI ANATRE,,en,,0.6,,2010-12-08,0.0,0.0,0.0,Released,,0.0,0.0,Francesca Botti-Augusto Gatti-Paolo Lodi-Federico Mazzoli-Giorgio Paltrinieri,,,,
658628,The Coffee Klash,,en,Stephanie's mother Gayle is anything but laid-back. Though she loves her daughter she often expresses it the only way she knows how: by completely micromanaging her life. Which is why this particular afternoon at the coffee shop might be tricky. After all Stephanie has brought her mother here to not only tell her she's a lesbian but to introduce Gayle to her new girlfriend Mary Ann. Gayle's reaction to her daughter's news isn't exactly a surprise nor is what her daughter expected. Enlisting the advice of the coffee shop staff Gayle must come to terms with the afternoon's events and try to set aside her judgments...sort of.,0.6,,2012-06-04,0.0,0.0,13.0,Released,,1.0,1.0,,,/b0uePstiQs7Evddfgh8TI98VTxS.jpg,,
730654,A Portrait of Butterflies,Drama,pt,Alexandra and Miguel meet regularly and passionately at her home. He has already started to create some expectations for the future. She is still trying to understand where that is going to take her. This gap between them leads them to confrontation in a way that will mark them for life,0.6,Onírico Filmes,2019-10-01,10000.0,0.0,11.0,Released,,0.0,0.0,Inês Sá Frias-Salvador Nery-Filipe Abreu-Mouzinho Arsénio,,/kTEyA0K6gekWRRKHKPe3fbIXFro.jpg,,
442614,Border Buckaroos,Western,en,Rangers Tex Wyatt Jim Steele and Panhandle Perkins are en route to Boulder City to investigate the murder of rancher Dan Clark when they happen upon Trigger Farley a gunslinger hired by Cole Melford the chief suspects in Clark's murder.,0.6,Alexander-Stern Productions-PRC,1943-06-15,0.0,0.0,60.0,Released,,0.0,0.0,Dave O'Brien-James Newill-Guy Wilkerson-Christine McIntyre-Eleanor Counts-Jack Ingram-Ethan Laidlaw-Charles King-Michael Vallon-Kenne Duncan,,/c49Iw5xtWqkFadnzwRqcukDcgmN.jpg,/5G8BeybHNeba5pvbGrXJUGCcy91.jpg,
261227,Nenjangal,Drama,ta,,0.6,,1982-12-09,0.0,0.0,0.0,Released,,0.0,0.0,Sivaji Ganesan-Lakshmi-Thengai Srinivasan-Thyagarajan-Vijayakumar,,,,
290596,Genghis Bond: Agent 1-2-3,Crime-Action-Comedy,tl,A story about an agent named Genghis Bond who was sent on a mission the criminals mistook a coffin salesman who looked like Genghis Bond and held him captive now Genghis Bond needs to act like the salesman to safeguard his identity.,0.6,GM Film Organization,1965-12-20,0.0,0.0,100.0,Released,With 44 Bikini Girls!,0.0,0.0,Dolphy-Alona Alegre-Lucita Soriano-Babalu-Aruray-Jose Padilla Jr.-Ike Fernando-Ben Peralta-Lina Lizares-Larry Pangilinan-Charlie Mendez-Roberto Gonzalez-Sancho Tesalona-Carlos Diaz-Angel Casaje-Eva Marie-Bert Martinez-Nellie Madrigal-Boy Chico,,,,
313436,Boys Rock,,en,"Get ready for a rocking good time with these musical cartoons which teach young viewers about interesting topics like learning from your elders fiber's secret role as Mother Nature's pipe cleaner and a canary's strange but true singing ability. Created by the makers of ""Schoolhouse Rock"" this program also follows the news team of Dewey Decimal Constance Reader Page Turner and Rick Rotor as they examine the book Tom Sawyer.",0.6,,,0.0,0.0,,Released,,0.0,0.0,,,,,
